date,close,open,high,low
01.02.2025,"92,0728","99,8564","100,5418","89,3827"
01.01.2025,"98,5705","113,5000","115,0000","96,0000"
01.12.2024,"113,4955","107,3100","113,5000","97,8500"
01.11.2024,"106,4955","97,0600","114,5000","95,0000"
01.10.2024,"97,3705","92,9100","100,3000","92,7000"
01.09.2024,"92,9955","91,8100","94,3250","87,1000"
01.08.2024,"90,6509","85,9988","93,7513","84,7023"
01.07.2024,"85,9988","85,5316","91,3797","84,8465"
01.06.2024,"85,5332","90,1000","91,7479","82,7377"
01.05.2024,"90,1000","93,0525","93,7475","88,2636"
01.04.2024,"93,0525","92,4800","94,5263","91,2425"
01.03.2024,"92,4800","91,1500","93,4350","90,0970"
01.02.2024,"91,1500","90,0175","93,2849","89,8360"
01.01.2024,"90,0175","90,3600","92,4475","87,3827"
01.12.2023,"90,3600","89,4525","93,5296","88,8773"
01.11.2023,"89,4525","93,4000","93,7412","87,6858"
01.10.2023,"93,4000","97,9675","102,2742","91,6394"
01.09.2023,"97,9675","96,0250","98,5710","92,5561"
01.08.2023,"96,0250","91,6025","101,7356","91,4490"
01.07.2023,"91,6025","89,5500","93,7452","88,2854"
01.06.2023,"89,5500","81,1025","89,6863","80,4990"
01.05.2023,"81,1025","80,2500","81,3508","75,2510"
01.04.2023,"80,2500","77,5975","83,4458","77,3763"
01.03.2023,"77,5975","74,9700","77,9058","74,8825"
01.02.2023,"74,9700","69,8200","76,4350","69,8076"
01.01.2023,"69,8200","69,9000","72,4513","67,0998"
01.12.2022,"69,9000","60,9900","72,8524","60,8200"
01.11.2022,"60,9900","61,4775","62,3590","59,9835"
01.10.2022,"61,4775","58,4500","64,9150","56,9074"
01.09.2022,"58,4500","60,2300","62,5799","53,2875"
01.08.2022,"60,2300","61,6200","62,6401","58,2493"
01.07.2022,"61,6200","51,4500","64,5988","51,3998"
01.06.2022,"51,4500","61,5000","62,4923","50,1006"
01.05.2022,"61,5000","70,9600","70,9600","55,8383"
01.04.2022,"70,9600","83,2000","84,9917","70,3221"
01.03.2022,"83,2000","94,6025","121,2100","82,9525"
01.02.2022,"94,6025","77,3792","109,1239","74,2873"
01.01.2022,"77,3792","74,6539","80,3251","74,1898"
01.12.2021,"74,6539","74,0838","75,1295","73,1070"
01.11.2021,"74,0838","70,9464","75,8907","70,5283"
01.10.2021,"70,9464","72,7514","73,2325","69,2347"
01.09.2021,"72,7514","73,2274","73,6184","72,2500"
01.08.2021,"73,2274","73,1409","74,5781","72,6923"
01.07.2021,"73,1409","73,1925","75,3361","72,8178"
01.06.2021,"73,1522","73,2636","73,7045","71,5630"
01.05.2021,"73,4341","75,1859","75,3481","73,1646"
01.04.2021,"75,2073","75,6500","78,0207","74,2151"
01.03.2021,"75,6987","74,6196","76,6440","72,5404"
01.02.2021,"74,6196","75,7404","76,2821","73,1509"
01.01.2021,"75,7404","74,4121","76,4995","73,0857"
01.12.2020,"74,4121","76,4033","76,4123","72,6629"
01.11.2020,"76,4033","79,5257","80,9205","75,3270"
01.10.2020,"79,5257","77,6319","79,5905","76,0220"
01.09.2020,"77,6319","74,0718","79,9438","73,3757"
01.08.2020,"74,0718","74,4114","75,9878","72,6438"
01.07.2020,"74,4114","71,1734","74,4947","70,2013"
01.06.2020,"71,1734","70,1445","71,3213","68,0563"
01.05.2020,"70,1445","74,3813","75,9330","70,1445"
